# source_id,ra,dec,pmra,pmdec,x,y,r,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe
3586878268659758592,174.056513,-10.884319,-2.7348,0.9767,-0.0108,-0.0069,0.012816005617976297,-2.109085714285714,0.8891642857142857,1.2986021260409784,-1.8848045509908258,-0.5807,0.96514,-0.0523,1.7834,1.0422,1.6659
3586878272954502144,174.057366,-10.88025,-0.5639,-0.3643,-0.01,-0.0028,0.010384603988597736,0.06181428571428582,-0.45183571428571434,0.0623034969429304,0.45176851693221304,0.0561,0.99925,-0.0693,0.4739,0.3747,0.6084
3586878376034471296,174.05791,-10.874258,-0.0796,-0.1034,-0.0094,0.0032,0.009929753269845127,0.5461142857142858,-0.19093571428571432,-0.5785107056862621,0.004756412240717915,-0.1603,0.99994,-0.1525,0.271,0.2141,0.3524
3586878371738980096,174.062208,-10.873088,-1.6205,0.6497,-0.0052,0.0044,0.0068117545463705605,-0.9947857142857143,0.5621642857142858,1.122531429953349,0.21342560822563286,-3.1311,0.99583,-0.2707,2.1511,1.7231,2.739
3586878440458461952,174.048515,-10.865565,-0.4699,-0.4409,-0.0186,0.0119,0.022080987296767326,0.1558142857142858,-0.5284357142857143,-0.4160380417242771,0.3611575052571037,0.0883,0.99187,-0.1117,0.51,0.4218,0.7046
3586878066796205696,174.066221,-10.884411,-2.571,0.0258,-0.0013,-0.007,0.007119691004531026,-1.9452857142857143,-0.0617357142857143,0.4158918451217914,-1.9013105432263402,5.1654,0.98497,-0.4319,2.9502,1.669,2.4261
3586878272954635392,174.062656,-10.88064,0.6282,0.9033,-0.0048,-0.0032,0.005768882040742382,1.2539142857142858,0.8157642857142857,-1.4958243598622467,0.016789586296460143,-2.9099,0.99867,-0.215,1.2157,1.1232,1.7092
3586878371738977024,174.066426,-10.8789,0.2483,-0.1253,-0.0011,-0.0015,0.0018601075237738274,0.8740142857142857,-0.2128357142857143,-0.3452285067662702,0.8306727942000356,-0.0537,0.99997,-0.2338,0.3378,0.286,0.4179
3586878376033754112,174.068138,-10.879259,-1.3309,-0.4704,0.0006,-0.0018,0.0018973665961010276,-0.7051857142857142,-0.5579357142857143,0.3063049904731811,-0.8454326736762589,-1.4078,0.99923,-0.2039,0.721,0.5711,0.831
3586878371738976896,174.068943,-10.879726,0.0406,0.5598,0.0014,-0.0023,0.002692582403567252,0.6663142857142857,0.4722642857142857,-0.05695939219526521,0.8147170739274521,-0.3544,0.99983,-0.8684,0.7406,1.1245,0.5086
3586878376033718656,174.070489,-10.876561,0.593,0.4087,0.0029,0.0009,0.0030364452901377953,1.2187142857142859,0.3211642857142857,1.2591431494360241,-0.054493466129244834,-0.2495,0.99977,-0.0583,0.5817,0.4095,0.7105
3586878204235779968,174.083881,-10.877381,0.0962,-0.1669,0.0161,0.0001,0.016100310556011025,0.7219142857142857,-0.2544357142857143,0.72032004527028,-0.2589146596936347,0.1971,0.99923,-0.385,0.1846,0.1606,0.2036
3586878376033849088,174.06807,-10.869463,-1.1833,1.3986,0.0006,0.008,0.008022468448052631,-0.5575857142857142,1.3110642857142858,1.2656905942219847,0.6540785195594029,-0.5382,0.99126,0.0088,1.7309,0.9155,2.3469
3586878371738980864,174.069403,-10.871918,0.1876,-2.0259,0.0019,0.0055,0.005818934610390462,0.8133142857142858,-2.1134357142857145,-1.7320351508534984,-1.4588162605253638,0.1659,0.99467,-0.0843,1.4925,1.1651,1.551
