# source_id,ra,dec,pmra,pmdec,x,y,r,vx,vy,vR,vPhi,plx,memberprob,pmcorr,pmrae,pmdece,plxe,g_mag,bp_rp
1408608333738144128,251.887655,47.507585,-1.0695,-0.0532,0.0964,-0.0201,0.09847319432210981,0.03639134020618573,0.29279969072164946,-0.024140057647090235,0.29406333696244946,0.0551,0.96312,0.2053,0.159,0.2069,0.1525,18.8443,0.931
1408611254315908480,251.851318,47.535934,-1.2929,-0.4795,0.0718,0.0082,0.0722667281672555,-0.1870086597938143,-0.13350030927835055,-0.20094896610883672,-0.11141851028928461,-0.0524,0.99915,0.2189,0.0995,0.1282,0.0908,18.0155,0.448
1408612315171394560,251.822078,47.576963,-0.9255,-0.1895,0.052,0.0492,0.07158659092316103,0.18039134020618564,0.15649969072164943,0.2385940474880293,-0.010298996098444283,0.1263,0.97799,0.2474,0.1165,0.1501,0.1093,18.354,1.0799
1408610807639309312,251.795969,47.473454,-1.1834,-0.4651,0.0345,-0.0543,0.06433303972299148,-0.07750865979381438,-0.11910030927835058,0.058960342108197554,-0.1292909667057847,0.0498,0.99999,0.1245,0.0216,0.029,0.0206,15.0876,1.5412
1408610837704345600,251.82858,47.499115,-0.6639,0.1822,0.0565,-0.0286,0.06332621889865209,0.4419913402061856,0.5281996907216494,0.15579644164133594,0.6708790702262248,-0.177,0.9546,0.0538,0.2843,0.4068,0.2716,19.7139,0.903
1408610841999047168,251.818971,47.483305,-1.1914,-0.3024,0.05,-0.0444,0.06686822862914794,-0.08550865979381439,0.04359969072164943,-0.0928880484060626,-0.0241759052378757,0.0476,0.99887,0.0783,0.1227,0.1639,0.1131,18.2615,1.1062
1408611082517217408,251.801434,47.509224,-0.3701,-0.0918,0.0381,-0.0185,0.042353984464274436,0.7357913402061856,0.25419969072164944,0.5508562199899942,0.5500580005633333,-0.0434,0.98803,0.2247,0.5396,0.6298,0.3878,20.0883,1.0251
1408611215659721856,251.836583,47.52997,-1.162,-0.4365,0.0619,0.0023,0.06194271547163556,-0.0561086597938143,-0.09050030927835057,-0.059430341801256996,-0.08835452538903066,0.0268,0.99999,0.2209,0.0308,0.0362,0.0276,15.9072,1.3807
1408611215659718400,251.826325,47.526775,-1.1162,-0.9636,0.0549,-0.0009,0.054907376553610714,-0.010308659793814456,-0.6176003092783506,-0.00018403983151574584,-0.6176863092353588,0.0758,0.98814,0.1843,0.2006,0.2638,0.1914,19.0946,1.1018
1408612040293452672,251.817451,47.543394,-1.1284,-0.7339,0.0489,0.0157,0.051358543593057616,-0.022508659793814445,-0.38790030927835056,-0.14000997334666695,-0.3624506822554198,-0.0458,0.99898,0.2318,0.1132,0.1575,0.1076,18.3065,0.0203
1408611872789654912,251.810491,47.523249,-1.8458,-0.444,0.0443,-0.0045,0.04452796873876014,-0.7399086597938145,-0.09800030927835057,-0.7262166488399715,-0.1722738064946973,-0.0006,0.97389,0.1863,0.7083,0.8679,0.5281,20.3245,0.7014
1408611834135005056,251.795067,47.522725,-1.0637,-0.547,0.0338,-0.005,0.03416782111870758,0.042191340206185535,-0.2010003092783506,0.07115083039432572,-0.19266238048094542,0.0027,0.99955,0.0968,0.2123,0.3559,0.215,19.2584,0.871
1408611902854483456,251.788643,47.52609,-1.6177,-0.0162,0.0295,-0.0017,0.029548942451465162,-0.5118086597938143,0.32979969072164944,-0.5299348686967267,0.2998082306732404,-0.3388,0.99561,0.2213,0.6009,0.9966,0.5232,20.2605,0.6621
1408611937214233600,251.801795,47.540254,-1.0447,-0.7039,0.0384,0.0125,0.040383288622894496,0.06119134020618566,-0.35790030927835054,-0.052596172191327915,-0.3592640451932092,-0.0184,0.99935,0.2412,0.1691,0.2408,0.1596,18.9308,0.9823
1408611902854488576,251.795862,47.531446,-1.2517,-0.4257,0.0344,0.0037,0.03459841036810796,-0.1458086597938144,-0.07970030927835059,-0.1534957526873086,-0.06365028261437365,-2.6614,0.96755,0.3877,1.7124,2.3956,1.5193,20.8425,0.2423
1408611907151279744,251.791237,47.534787,-1.1243,-0.4743,0.0312,0.007,0.03197561570947462,-0.018408659793814452,-0.12830030927835057,-0.04604922588180737,-0.12115823088841753,0.072,0.99999,0.2647,0.0232,0.0302,0.0213,15.1793,1.5396
1408611902854582912,251.793093,47.535899,-1.1577,-0.4519,0.0325,0.0082,0.03351850235317801,-0.05180865979381433,-0.10590030927835059,-0.0761419454989301,-0.09000787115869067,-0.016,0.99999,0.2852,0.0498,0.0666,0.045,16.7405,1.22
1408611907151279872,251.789514,47.535302,-1.1732,-0.3215,0.0301,0.0076,0.031044645270964198,-0.0673086597938144,0.024499690721649425,-0.059262813095500924,0.04023194641952645,0.0989,0.99996,0.2774,0.0505,0.0666,0.0457,16.7722,1.2049
1408611907151280000,251.787223,47.536526,-1.1101,-0.6103,0.0285,0.0088,0.029827671716042472,-0.004208659793814462,-0.2643003092783505,-0.08199733284773136,-0.25129425721203846,-0.1493,0.99991,0.2921,0.1158,0.1587,0.1063,18.1328,1.0682
1408611902858530560,251.783457,47.535541,-1.3231,-2.0353,0.026,0.0078,0.027144796923167427,-0.21720865979381432,-1.6893003092783505,-0.6934650356858815,-1.5556417907405726,0.5073,0.97506,0.2025,0.4422,0.792,0.4206,20.0521,0.8491
1408612109013013248,251.780914,47.537006,-1.0368,-0.3549,0.0243,0.0093,0.02601883932845583,0.06909134020618568,-0.00890030927835056,0.06134580680453359,-0.0330078897271247,-0.1693,0.99989,0.1468,0.0895,0.1412,0.0866,17.8637,0.8566
1408612113308329984,251.781773,47.537306,-0.8292,1.2603,0.0249,0.0096,0.0266865134478073,0.2766913402061856,1.6062996907216494,0.8360062263545696,1.3992320692629776,0.3815,0.98854,0.1892,0.6695,0.9432,0.5412,20.2825,1.6767
1408612113308647296,251.780772,47.54044,0.4215,2.1199,0.0242,0.0127,0.027330020124398006,1.5273913402061856,2.4658996907216495,2.4983441722459627,1.4737238506051973,1.2163,0.97208,0.2838,1.613,2.2887,1.2531,20.7504,1.0785
1408611009501250048,251.791014,47.48794,-1.4762,0.1099,0.0311,-0.0398,0.05050990001969911,-0.37030865979381433,0.45589969072164943,-0.5872394718409892,-0.011083060511546982,-0.085,0.98917,0.0742,0.297,0.4557,0.2848,19.6572,0.957
